time,OD,well,strain,carbon_source,growth_rates
13:59:10,0.6365,B12,at,21,0.04917517674783974
14:29:10,0.6473,B12,at,21,0.042638652865750144
14:59:10,0.6641,B12,at,21,0.04954073181749742
15:29:10,0.6802,B12,at,21,0.041458394589826524
15:59:10,0.6923,B12,at,21,0.029466994077711934
16:29:10,0.7006,B12,at,21,0.043676848415643676
16:59:10,0.7229,B12,at,21,0.05145939964033754
17:29:10,0.7378,B12,at,21,0.022634860395771277
17:59:10,0.7396,B12,at,21,0.03623580313683063
18:29:10,0.7646,B12,at,21,0.04433690818728738
18:59:10,0.7735,B12,at,21,0.02352941176470602
19:29:10,0.7828,B12,at,21,-0.0077925396014307535
19:59:10,0.7674,B12,at,21,-0.018373729476153247
20:29:10,0.7687,B12,at,21,-0.02901001691166903
20:59:10,0.7451,B12,at,21,-0.0025499932894913605
21:29:10,0.7668,B12,at,21,0.03755868544600945
21:59:10,0.7739,B12,at,21,0.019511564801653964
22:29:10,0.7819,B12,at,21,0.014068295178411573
22:59:10,0.7849,B12,at,21,0.00012740476493819464
23:29:10,0.782,B12,at,21,-0.005498721227621587
23:59:10,0.7806,B12,at,21,-0.0014091724314629643
24:29:10,0.7809,B12,at,21,-0.007043155333589383
24:59:10,0.7751,B12,at,21,-0.005160624435556707
25:29:10,0.7769,B12,at,21,-0.004118934225769057
25:59:10,0.7719,B12,at,21,-0.0037569633372198648
26:29:10,0.774,B12,at,21,-0.001162790697674434
26:59:10,0.771,B12,at,21,-0.004539559014267261
27:29:10,0.7705,B12,at,21,-0.0015574302401038013
27:59:10,0.7698,B12,at,21,-0.0020784619381656725
28:29:10,0.7689,B12,at,21,-0.005852516582130393
28:59:10,0.7653,B12,at,21,-0.005749379328368052
29:29:10,0.7645,B12,at,21,-0.0031393067364289835
29:59:10,0.7629,B12,at,21,-0.00511207235548552
30:29:10,0.7606,B12,at,21,-0.007362608466999801
30:59:10,0.7573,B12,at,21,-0.0043575861613628425
31:29:10,0.7573,B12,at,21,0.0010563845239667542
31:59:10,0.7581,B12,at,21,-0.00580398364331877
32:29:10,0.7529,B12,at,21,-0.007305086996945078
32:59:10,0.7526,B12,at,21,-0.00916821684825939
33:29:10,0.746,B12,at,21,-0.008176943699731896
33:59:10,0.7465,B12,at,21,-0.006697923643670467
34:29:10,0.741,B12,at,21,-0.010796221322537122
34:59:10,0.7385,B12,at,21,-0.0018957345971563396
35:29:10,0.7396,B12,at,21,-0.0014872904272579634
35:59:10,0.7374,B12,at,21,-0.005831299159208139
36:29:10,0.7353,B12,at,21,-0.004079967360261122
36:59:10,0.7344,B12,at,21,-0.008033769063180698
37:29:10,0.7294,B12,at,21,-0.009871126953660672
37:59:10,0.7272,B12,at,21,-0.007838283828382892
38:29:10,0.7237,B12,at,21,-0.006770761365206445
38:59:10,0.7223,B12,at,21,-0.010245050533019467
39:29:10,0.7163,B12,at,21,-0.005025827167388032
39:59:10,0.7187,B12,at,21,-0.0013914011409489368
40:29:10,0.7153,B12,at,21,-0.00880749335942957
40:59:10,0.7124,B12,at,21,-0.0032285233015161142
41:29:10,0.713,B12,at,21,-0.006030855539972064
41:59:10,0.7081,B12,at,21,-0.002683236830956098
42:29:10,0.7111,B12,at,21,-0.0018281535648994064
42:59:10,0.7068,B12,at,21,-0.012874929258630444
43:29:10,0.702,B12,at,21,-0.008119658119658174
43:59:10,0.7011,B12,at,21,-0.0025673940949934573
44:29:10,0.7002,B12,at,21,0.0
44:59:10,0.7011,B12,at,21,0.0064184852374838805
45:29:10,0.7047,B12,at,21,-0.010926635447708144
45:59:10,0.6934,B12,at,21,-0.018459763484280405
46:29:10,0.6919,B12,at,21,0.0011562364503541307
46:59:10,0.6942,B12,at,21,0.0007202535292423739
47:29:10,0.6924,B12,at,21,-0.003466204506065957
47:59:10,0.6918,B12,at,21,0.004625614339404424
48:29:10,0.6956,B12,at,21,0.0007188039102933525
48:59:10,0.6923,B12,at,21,-0.013722374693052077
49:29:10,0.6861,B12,at,21,-0.01078559976679795
49:59:10,0.6849,B12,at,21,0.0017520805957073717
50:29:10,0.6873,B12,at,21,-0.0018914593336242802
50:59:10,0.6836,B12,at,21,-0.00877706260971329
51:29:10,0.6813,B12,at,21,-0.008806693086745934
51:59:10,0.6776,B12,at,21,-0.005460448642266878
52:29:10,0.6776,B12,at,21,0.00280401416765055
52:59:10,0.6795,B12,at,21,-0.0026490066225165914
53:29:10,0.6758,B12,at,21,-0.00843444806155673
53:59:10,0.6738,B12,at,21,-0.007717423567824255
54:29:10,0.6706,B12,at,21,-0.014912019087384445
54:59:10,0.6638,B12,at,21,-0.0016571256402530732
55:29:10,0.6695,B12,at,21,0.010754294249440024
55:59:10,0.671,B12,at,21,-0.008792846497764554
56:29:10,0.6636,B12,at,21,-0.007233273056057907
56:59:10,0.6662,B12,at,21,0.0012008405884119226
57:29:10,0.6644,B12,at,21,-0.00662251655629133
57:59:10,0.6618,B12,at,21,-0.0034753702024780423
58:29:10,0.6621,B12,at,21,-0.0010572421084428846
58:59:10,0.6611,B12,at,21,-0.00831946755407663
59:29:10,0.6566,B12,at,21,-0.004416692049954331
59:59:10,0.6582,B12,at,21,-0.004557885141294443
60:29:10,0.6536,B12,at,21,-0.0033659730722153916
60:59:10,0.656,B12,at,21,0.004725609756097548
61:29:10,0.6567,B12,at,21,-0.002588701081163446
61:59:10,0.6543,B12,at,21,-0.022925263640531716
62:29:10,0.6417,B12,at,21,-0.010752688172043038
62:59:10,0.6474,B12,at,21,0.004479456286685052
63:29:10,0.6446,B12,at,21,-0.00822215327334777
63:59:10,0.6421,B12,at,21,-0.015885376109640224
64:29:10,0.6344,B12,at,21,0.0007881462799494719
64:59:10,0.6426,B12,at,21,0.008092125739184537
65:29:10,0.6396,B12,at,21,-0.004846779237023127
65:59:10,0.6395,B12,at,21,-0.015324472243940455
66:29:10,0.6298,B12,at,21,-0.01349634804699897
66:59:10,0.631,B12,at,21,0.005705229793977713
67:29:10,0.6334,B12,at,21,-0.00947268708556995
67:59:10,0.625,B12,at,21,-0.013439999999999942
68:29:10,0.625,B12,at,21,0.0009600000000000719
68:59:10,0.6256,B12,at,21,-0.0017583120204603417
69:29:10,0.6239,B12,at,21,-0.01138002885077736
69:59:10,0.6185,B12,at,21,0.0008084074373483345
70:29:10,0.6244,B12,at,21,0.008488148622677726
70:59:10,0.6238,B12,at,21,-0.0033664636101314377
71:29:10,0.6223,B12,at,21,-0.0025711071830307663
71:59:10,0.6222,B12,at,21,-0.006589521054323357
72:29:10,0.6182,B12,at,21,-0.0038822387576835293
72:59:10,0.6198,B12,at,21,0.0004840271055180348
73:29:10,0.6185,B12,at,21,0.006143896523848061
73:59:10,0.6236,B12,at,21,0.0
74:29:10,0.6185,B12,at,21,-0.02053354890865003
74:59:10,0.6109,B12,at,21,-0.01505974791291553
75:29:10,0.6093,B12,at,21,
Unnamed: 152,,B12,at,21,
0:29:10,0.088,B10,oa,21,0.0
0:59:10,0.087,B10,oa,21,0.0
1:29:10,0.088,B10,oa,21,0.011494252873563229
1:59:10,0.089,B10,oa,21,0.02272727272727275
2:29:10,0.09,B10,oa,21,0.02247191011235957
2:59:10,0.091,B10,oa,21,0.04444444444444449
3:29:10,0.094,B10,oa,21,0.07526881720430115
3:59:10,0.1,B10,oa,21,0.11340206185567006
4:29:10,0.108,B10,oa,21,0.18269230769230774
4:59:10,0.118,B10,oa,21,0.18965517241379315
5:29:10,0.129,B10,oa,21,0.21428571428571414
5:59:10,0.147,B10,oa,21,0.3006993006993008
6:29:10,0.178,B10,oa,21,0.27810650887573973
6:59:10,0.191,B10,oa,21,0.2368421052631578
7:29:10,0.224,B10,oa,21,0.2757009345794392
7:59:10,0.294,B10,oa,21,0.29317269076305214
8:29:10,0.359,B10,oa,21,0.5400696864111499
