time,OD,well,strain,carbon_source
48:29:10,1.095,A2,oa,0
48:59:10,1.142,A2,oa,0
49:29:10,1.135,A2,oa,0
49:59:10,1.067,A2,oa,0
50:29:10,1.086,A2,oa,0
50:59:10,1.044,A2,oa,0
51:29:10,1.085,A2,oa,0
51:59:10,1.07,A2,oa,0
52:29:10,1.062,A2,oa,0
52:59:10,1.069,A2,oa,0
53:29:10,1.026,A2,oa,0
53:59:10,1.038,A2,oa,0
54:29:10,1.016,A2,oa,0
54:59:10,1.041,A2,oa,0
55:29:10,1.022,A2,oa,0
55:59:10,1.031,A2,oa,0
56:29:10,1.01,A2,oa,0
56:59:10,1.009,A2,oa,0
57:29:10,0.996,A2,oa,0
57:59:10,1.017,A2,oa,0
58:29:10,0.981,A2,oa,0
58:59:10,0.985,A2,oa,0
59:29:10,0.973,A2,oa,0
59:59:10,0.975,A2,oa,0
60:29:10,1.0,A2,oa,0
60:59:10,1.011,A2,oa,0
61:29:10,0.968,A2,oa,0
61:59:10,0.963,A2,oa,0
62:29:10,0.989,A2,oa,0
62:59:10,0.948,A2,oa,0
63:29:10,0.976,A2,oa,0
63:59:10,0.958,A2,oa,0
64:29:10,0.95,A2,oa,0
64:59:10,0.967,A2,oa,0
65:29:10,0.981,A2,oa,0
65:59:10,0.947,A2,oa,0
66:29:10,0.971,A2,oa,0
66:59:10,0.961,A2,oa,0
67:29:10,0.962,A2,oa,0
67:59:10,0.95,A2,oa,0
68:29:10,0.965,A2,oa,0
68:59:10,0.973,A2,oa,0
69:29:10,0.957,A2,oa,0
69:59:10,0.957,A2,oa,0
70:29:10,0.945,A2,oa,0
70:59:10,0.959,A2,oa,0
71:29:10,0.959,A2,oa,0
71:59:10,0.949,A2,oa,0
72:29:10,0.941,A2,oa,0
72:59:10,0.937,A2,oa,0
73:29:10,0.937,A2,oa,0
73:59:10,0.928,A2,oa,0
74:29:10,0.929,A2,oa,0
74:59:10,0.936,A2,oa,0
75:29:10,0.919,A2,oa,0
0:29:10,0.0987,A3,at,0
0:59:10,0.099,A3,at,0
1:29:10,0.0981,A3,at,0
1:59:10,0.0976,A3,at,0
2:29:10,0.0974,A3,at,0
2:59:10,0.0968,A3,at,0
3:29:10,0.0966,A3,at,0
3:59:10,0.0965,A3,at,0
4:29:10,0.0962,A3,at,0
4:59:10,0.096,A3,at,0
5:29:10,0.0962,A3,at,0
5:59:10,0.0963,A3,at,0
