Time,Citric acid,Glucose,Citric acid + Glucose
Time,B2,B5,B8
33:49:10,1.135,0.622,1.561
33:59:10,1.134,0.643,1.564
34:09:10,1.112,0.623,1.557
34:19:10,1.109,0.622,1.562
34:29:10,1.088,0.616,1.552
34:39:10,1.091,0.635,1.553
34:49:10,1.076,0.612,1.544
34:59:10,1.078,0.621,1.544
35:09:10,1.074,0.622,1.543
35:19:10,1.07,0.626,1.541
35:29:10,1.066,0.62,1.538
35:39:10,1.079,0.629,1.546
35:49:10,1.077,0.623,1.541
35:59:10,1.072,0.624,1.535
36:09:10,1.083,0.624,1.536
36:19:10,1.074,0.621,1.526
36:29:10,1.084,0.615,1.528
36:39:10,1.077,0.623,1.518
36:49:10,1.075,0.615,1.513
36:59:10,1.072,0.617,1.507
37:09:10,1.08,0.627,1.509
37:19:10,1.085,0.661,1.511
37:29:10,1.082,0.624,1.508
37:39:10,1.071,0.63,1.496
37:49:10,1.069,0.619,1.49
37:59:10,1.079,0.664,1.499
38:09:10,1.073,0.652,1.494
38:19:10,1.079,0.632,1.495
38:29:10,1.074,0.63,1.487
38:39:10,1.075,0.631,1.487
38:49:10,1.067,0.625,1.477
38:59:10,1.06,0.621,1.47
39:09:10,1.078,0.634,1.485
39:19:10,1.069,0.646,1.474
39:29:10,1.059,0.622,1.461
39:39:10,1.062,0.632,1.461
39:49:10,1.06,0.621,1.456
39:59:10,1.063,0.625,1.456
40:09:10,1.064,0.65,1.456
40:19:10,1.066,0.629,1.454
40:29:10,1.068,0.635,1.457
40:39:10,1.066,0.63,1.451
40:49:10,1.063,0.631,1.449
40:59:10,1.062,0.63,1.443
41:09:10,1.059,0.635,1.437
41:19:10,1.056,0.632,1.435
41:29:10,1.059,0.641,1.439
41:39:10,1.058,0.629,1.433
41:49:10,1.06,0.626,1.435
41:59:10,1.06,0.648,1.436
42:09:10,1.055,0.628,1.427
42:19:10,1.062,0.63,1.434
42:29:10,1.065,0.633,1.436
42:39:10,1.053,0.625,1.42
42:49:10,1.061,0.627,1.427
42:59:10,1.057,0.627,1.421
43:09:10,1.058,0.627,1.422
43:19:10,1.052,0.627,1.414
43:29:10,1.053,0.653,1.414
43:39:10,1.056,0.644,1.416
43:49:10,1.052,0.655,1.41
43:59:10,1.049,0.643,1.405
44:09:10,1.058,0.665,1.416
44:19:10,1.057,0.636,1.413
44:29:10,1.05,0.635,1.405
44:39:10,1.048,0.627,1.401
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
0:00:00,,,
