exp_time,od_measured,raw_FP1_emit1,raw_FP2_emit1,raw_FP3_emit1,reactor
37.30542777777778,8.501377668987885,968.9999999999991,15298.0,6253.999999999998,M2
37.32210555555555,8.4774592615735,963.9999999999991,14984.0,6219.999999999999,M2
37.338791666666665,8.427022048234221,1020.9999999999991,16329.0,6650.0,M2
37.355491666666666,8.425155877639867,979.9999999999992,15596.0,6368.999999999998,M2
37.37218055555556,8.396513609903366,1005.9999999999997,16376.999999999998,6663.0,M2
37.388863888888885,8.31104072176052,984.0,15749.999999999998,6451.999999999997,M2
37.405547222222225,8.281065421510448,979.9999999999991,15493.0,6330.999999999998,M2
37.42223333333334,8.25483219576003,968.999999999999,15085.0,6160.999999999997,M2
37.43891944444444,8.205088174229246,975.9999999999995,15779.0,6441.999999999998,M2
37.455600000000004,8.17800706333253,996.9999999999999,15891.0,6464.999999999998,M2
37.47228888888889,8.15227308586671,993.9999999999993,15691.0,6310.0,M2
37.488974999999996,8.116551623095631,959.9999999999999,15051.0,6177.999999999998,M2
37.505652777777776,8.157549778093909,975.9999999999994,15677.0,6389.0,M2
37.52233333333333,8.090351893550007,966.9999999999994,15605.999999999998,6380.999999999999,M2
37.53901944444444,8.14066812441905,970.9999999999993,15515.000000000002,6405.0,M2
37.55569722222222,8.19504506313055,1017.0,16335.0,6664.999999999998,M2
37.572377777777774,8.347827473798901,965.9999999999997,15705.0,6514.999999999999,M2
37.58906388888889,8.264368493870279,975.9999999999994,15360.999999999998,6273.999999999997,M2
37.60575000000001,8.313164175048655,996.9999999999992,16087.0,6524.999999999997,M2
37.62243888888889,8.210639976362216,986.9999999999997,15957.0,6371.999999999998,M2
37.63911388888889,8.164938943566142,991.9999999999992,15082.000000000002,6314.0,M2
37.65579166666667,8.114575850485522,1008.9999999999992,15805.0,6478.0,M2
37.67247777777778,7.988830358454408,1014.9999999999993,16157.0,6622.0,M2
37.68915555555555,8.133681266615781,996.9999999999993,15890.0,6466.999999999999,M2
37.70583611111111,8.113785583403853,995.9999999999994,15918.000000000002,6466.999999999998,M2
37.72252222222222,8.049984833123887,964.9999999999999,15333.0,6274.0,M2
37.73921111111111,7.81676908872717,997.9999999999993,15881.000000000002,6431.999999999998,M2
37.75588888888889,7.929388444122651,1025.9999999999998,16255.0,6742.0,M2
37.772574999999996,7.842303898271211,988.9999999999994,15995.0,6429.999999999998,M2
37.78926388888889,7.952808597621754,999.9999999999997,15861.000000000002,6515.999999999998,M2
37.80595000000001,7.991452067179864,1004.9999999999999,15711.000000000002,6447.999999999999,M2
37.82263888888888,8.000236714647428,984.9999999999995,16108.000000000002,6505.0,M2
37.839325,8.117473701605832,1020.9999999999992,16341.000000000002,6645.999999999998,M2
37.85601388888889,8.011254489915586,1005.0,15721.0,6326.0,M2
37.8727,7.974939706074508,1012.9999999999991,16388.0,6523.0,M2
37.88938333333333,7.973891655529542,999.9999999999997,15497.000000000002,6340.999999999998,M2
37.90606111111111,7.982146195374668,972.9999999999998,15492.999999999998,6181.0,M2
37.92273888888888,7.876737338144011,1020.9999999999998,15701.999999999996,6498.999999999999,M2
37.93941944444445,7.875301702282883,991.9999999999992,15712.0,6397.0,M2
37.956097222222226,7.743820273129899,981.9999999999991,15221.999999999998,6224.0,M2
37.97277499999999,7.787096793655223,987.9999999999992,15854.0,6333.0,M2
37.98946111111111,7.72162510588646,992.9999999999993,15762.000000000002,6505.999999999998,M2
38.00615277777777,7.672240625746298,1036.9999999999993,16301.999999999998,6683.999999999998,M2
38.02283333333334,7.667449741837146,1007.9999999999995,15959.0,6545.999999999998,M2
38.03951666666667,7.765124648706205,1013.0,15986.0,6557.999999999999,M2
38.05620555555556,7.733693815741276,1004.999999999999,16256.999999999996,6501.999999999999,M2
38.07289166666667,7.786966726435253,1018.9999999999999,16354.000000000002,6582.999999999998,M2
38.089577777777784,7.8377422745005845,979.9999999999993,15487.999999999998,6344.0,M2
38.10626111111112,7.862906320518391,1028.0,16420.0,6673.0,M2
38.12294722222222,7.91017086926837,1024.9999999999998,16323.999999999998,6705.999999999998,M2
38.13962777777778,7.878956203765284,1012.9999999999991,16272.999999999998,6741.999999999999,M2
38.15630555555556,7.944563348548769,1015.9999999999993,16106.0,6521.999999999998,M2
38.17299444444445,7.9660326203490115,1030.0,16681.0,6579.0,M2
38.18968055555556,7.85064721975354,1000.9999999999995,15852.0,6511.0,M2
38.20636388888889,7.804661833508419,1009.9999999999994,15692.0,6449.999999999997,M2
38.22305000000001,7.728372512482224,988.9999999999999,15821.0,6401.999999999999,M2
38.23973611111111,7.642732428140732,1012.9999999999989,15768.000000000002,6438.999999999998,M2
38.25642777777778,7.525290335479809,1007.9999999999992,16017.999999999998,6433.999999999999,M2
38.27311111111111,7.55595486015298,998.9999999999999,16058.999999999996,6531.999999999999,M2
38.28980277777778,7.591431573184707,1000.9999999999992,16177.0,6538.999999999999,M2
38.30649722222223,7.567818055340268,1018.9999999999992,15899.0,6501.0,M2
38.32318611111111,7.469208461292169,1008.9999999999991,15964.0,6568.0,M2
38.33987777777778,7.446604072317427,1006.9999999999994,15816.000000000002,6481.999999999999,M2
38.35656666666667,7.477433105258825,982.9999999999991,15477.999999999998,6334.999999999998,M2
38.37325277777778,7.422608384059771,1004.9999999999997,16133.0,6595.999999999997,M2
38.389938888888885,7.545514561372784,1045.9999999999989,16559.0,6891.0,M2
38.406619444444445,7.531343074901116,1000.9999999999991,15703.0,6410.999999999997,M2
38.42330833333334,7.494147412920881,964.9999999999993,15030.0,6214.999999999999,M2
38.43998611111112,7.435052585913809,1004.0,16218.0,6525.999999999999,M2
38.45667222222222,7.345382142182956,975.9999999999995,14976.0,6246.999999999999,M2
38.47336111111111,7.247354705170011,1029.9999999999993,16412.0,6710.999999999997,M2
38.49005277777778,7.254362648100113,988.9999999999993,15528.000000000002,6358.0,M2
38.50673611111111,7.293769637822322,1011.9999999999995,16134.999999999998,6592.999999999999,M2
38.52341388888889,7.216669386159907,978.9999999999993,15107.0,6176.0,M2
38.540102777777776,7.144999078525217,1003.9999999999995,15832.0,6440.999999999999,M2
38.55678611111111,7.07010874257665,1028.9999999999995,16771.0,6638.999999999998,M2
38.57346944444444,7.075297235272217,1023.9999999999991,16742.0,6941.0,M2
38.59016666666667,7.11189912943442,988.9999999999995,15597.0,6393.999999999998,M2
38.60684722222222,7.173567316999652,1009.999999999999,15813.000000000002,6547.999999999999,M2
38.623530555555554,7.167216111141954,956.999999999999,15478.0,6243.0,M2
38.64021944444445,7.272082039783612,1014.9999999999995,16835.0,6719.999999999999,M2
38.656908333333334,7.304109495730671,990.9999999999991,15546.0,6381.999999999999,M2
38.67359444444445,7.185003391662235,1032.9999999999998,16495.999999999996,6672.999999999999,M2
38.69028333333333,7.353567772723494,1030.9999999999993,16176.0,6495.0,M2
38.70696944444445,7.339500308784778,1004.999999999999,15923.000000000002,6448.999999999998,M2
